English words/sentences,Vietnamese words/sentences
Let's get divorced.,Chúng mình ly hôn đi.
Let's get divorced.,Hay là chúng ta ly hôn đi.
I'll give it a try.,Tôi sẽ thử.
I'll give it a try.,Tôi sẽ thử xem sao.
What do you think Tom's shoe size is?,Cậu nghĩ Tom đi giày cỡ bao nhiêu?
Tom was not famous.,Tom không nổi tiếng.
Tom was totally wasted.,Tom đã say bí tỉ.
Tom was relieved to hear that.,Tom đã thở phào nhẹ nhõm khi nghe được điều đó.
Tom was relieved to hear that.,Tom thở phào khi nghe được điều đó.
Tom was happy.,Tom rất vui.
Tom was frightened.,Tom đã rất hoảng sợ.
Tom splashed water on his face.,Tom vung nước lên mặt.
A study found that almost 10% of men were obese in 2008. That was up from about 5% in 1980.,Một nghiên cứu chỉ ra rằng hầu hết 10% đàn ông sẽ bị béo phì vào năm 2008. Tỉ lệ này đã tăng từ khoảng 5% vào năm 1980.
Most teachers don't make a decent living considering the hours they have to work.,Hầu hết giáo viên không có được một cuộc sống tử tế do số giờ mà họ phải làm việc.
Who is that old man?,Ông già kia là ai vậy?
Good.,Được.
Go!,Đi đi!
Is this translation correct?,Bản dịch này có đúng không?
"The Libyan government is ready to close ""bit.ly"".","Chính quyền Li băng đã sãn sàng đóng tên miền ""bit.ly""."
Not being useful to anyone is simply being worthless.,Không có ích cho bất kỳ ai thì đơn giản là vô dụng.
I love my woolly hat.,Tôi thích cái mũ len của tôi.
Can you exchange it for another one?,Bạn có thể đổi cho tôi cái khác dược không?
Can you exchange it for another one?,Anh có thể đổi cho tôi cái khác không?
Tom scrubbed his feet.,Tom cọ rửa chân.
Read!,Đọc đi!
No?,Không hả?
Isn't it true?,Không đúng hả?
Isn't it true?,Điều đó không đúng ư?
"""Who will be coming to the party?"" ""A few friends and four or five colleagues.""","""Những ai sẽ đến dự tiệc?"" ""Một vài người bạn và bốn hoặc năm đồng nghiệp."""
I know how to ski.,Tôi biết trượt tuyết.
All of the cookies are in the shape of stars.,Tất cả bánh quy hình ngôi sao
Tom wrung the chicken's neck.,Tom bẻ cổ con gà.
I was bitten by a lot of insects in the forest.,Tôi bị nhiều côn trùng cắn trong rừng.
I was bitten by a lot of insects in the forest.,Trong rừng tôi bị nhiều côn trùng cắn.
This door is locked from the inside.,Cửa này bị khóa bên trong rồi.
This door is locked from the inside.,Cái cửa này bị khóa bên trong.
Tom put a bandage on Mary's arm.,Tom đặt dải băng lên cánh tay của Mary.
Tom needs a haircut.,Tom cần phải đi cắt tóc.
Fine!,Được thôi!
Roger!,Rõ!
I do want to learn!,Tôi có muốn học.
Tom is an excellent father.,Tom là một người cha tuyệt vời.
I hope you don't miss anything.,Hy vọng bạn không quên bất cứ thứ gì.
What time is it there?,Ở đó bây giờ là mấy giờ?
I was thinking of you actually!,Tôi thật đã nghĩ về bạn!
Password?,Mật khẩu là?
I left Shanghai last year and I've never been back.,Tôi rời Thượng Hải vào năm ngoái và chưa có dịp quay lai.
My name is Tom.,Tên tôi là Tom.
I've given up on the idea of buying a house.,Tôi đã từ bỏ ý định mua nhà.
He can play the guitar.,Anh ấy biết chơi guitar.
He can play the guitar.,Anh ta biết đánh ghi-ta.
She's about the same age as me.,Cô ấy tầm tuổi tôi.
She's about the same age as I am.,Cô ấy tầm tuổi tôi.
He had many capillaries burst in his legs.,Anh ấy bị vỡ mao mạch chân nghiêm trọng.
He had many capillaries burst in his legs.,Ông ấy bị vỡ mao mạch chân nghiêm trọng.
The police officer blew his whistle.,Cảnh sát thổi còi.
I didn't go to school yesterday.,Tôi đã không đi học ngày hôm qua.
I trust him completely.,Tôi tin tưởng anh ấy hoàn toàn.
She really likes cats a lot.,Quả thật bà ấy rất yêu mèo.
Life's not fair.,Cuộc đời không công bằng.
Tom has to take this call.,Tom phải nhận cuộc gọi này.
Tom hasn't finished yet.,Tom vẫn chưa xong.
Are you trying to kill me?,Bạn đang cố giết tôi à?
Hurry!,Nhanh lên!
Hurry!,Nhanh lên nào!
The exhibition will stay open for another month.,Buổi triển lãm đó sẽ mở của thêm một tháng nữa.
You should not be afraid of the future.,Bạn không nên sợ hãi về tương lai.
We'll be in a fine mess.,Chúng ta sẽ gặp một đống rắc rối.
No one knows where she is.,Không ai biết cô ấy ở đâu.
Winter is the season I like best.,Mùa đông là mùa tôi thích nhất.
Things will only get worse.,Mọi thứ sẽ chỉ xấu đi hơn mà thôi.
We'll have troubles for sure.,Chắc chắn là chúng ta sẽ gặp rắc rối.
Which flight centre will your sister work for?,Chị của bạn sẽ làm ở trung tâm điều hành bay nào ?
I like this kind of apple.,Tôi thích loại táo này.
You'd better open up the curtains.,Tốt hơn bạn nên mở rèm ra.
You'd better open up the curtains.,Bạn nên mở rèm ra thì tốt hơn.
Which subject do you like the most?,Bạn thích môn học nào nhất?
Which subject do you like the most?,Bạn thích môn nào nhất?
Which do you prefer: music or English?,"Giữa âm nhạc và tiếng Anh, bạn thích cái nào hơn?"
Both he and I are members of that club.,Anh ấy và tôi đều là thành viên của câu lạc bộ đó.
This fruit has an unpleasant smell.,Loại trái cây này có mùi khó ngửi.
"I'm American, but I can speak Japanese a little.","Tôi là người Mỹ, nhưng tôi có thể nói được một ít tiếng Nhật."
I'm not a doctor.,Tôi không phải là bác sĩ.
I've not seen anything yet in Tegucigalpa.,Tôi chưa thấy gì ở Tegucigalpa cả.
I've not seen anything yet in Tegucigalpa.,Tôi chưa thấy gì ở Tê-gu-xi-gan-pa hết.
I need the new version no matter what.,Tôi muốn có phiên bản mới bằng bất cứ giá nào.
Tom doesn't think he's as creative as Mary.,Tôm không nghĩ rằng anh ấy sáng tạo như Mary
Look at this high mountain!,Hãy nhìn ngọn núi cao này đi.
I'm getting tired of looking at the furniture we can't afford.,Tôi thấy mệt mỏi khi nhìn vào những đồ đạc mà chúng tôi không đủ khả năng dọn dẹp.
Who ate all the pies?,Ai đã ăn mấy cái bánh vậy?
Tom said something crude about the way Mary was dressed.,Tom nói điều gì đó thô thiển về cách ăn mặc của Mary.
It happened one year ago.,Nó đã xảy ra một năm trước.
Welcome to Tatoeba!,Chào mừng bạn đến với Tatoeba.
Who sings better?,Ai hát hay hơn?
I wanna come back to Lucca.,Tôi muốn trở về Lucca.
I cycle to work.,Tôi đi làm bằng xe đạp.
I can see a ship in the distance.,Tôi có thể nhìn thấy một con tàu từ đằng xa.
Is that too much to ask?,Có cần hỏi nhiều vậy không?
That's where the problem is.,Vấn đề nằm ở đó.
It'd be best if a few more female singers could come.,Nếu có thêm vài ca sỹ nữ nữa tới thì không còn gì tuyệt hơn.
It's already seven o'clock.,Đã bảy giờ rồi.
In the beginning God created Heaven and Earth.,Ban đầu Ðức Chúa Trời dựng nên trời đất.
The price shown in this advertisement only includes the frame.,Giá trong quảng cáo nào chỉ bao gồm phần khung.
He is a viler human being (if you can even call him that) than I could've ever known.,Hắn ta là người ghê tởm nhất mà tôi từng biết (nếu có thể gọi hắn là người).
Where did you buy this book?,Bạn mua quyển sách đó ở đâu thế?
"As soon as I've finished doing that, I'll help you.","Ngay sau khi tôi làm xong việc đó, tôi sẽ giúp bạn."
How long will you be at your aunt's house?,Cậu ở nhà dì tới khi nào thế?
He lives in a house far from the village.,Anh ấy sống tại một ngôi nhà xa làng.
I remember the year when he began working and earning money.,Tôi nhớ năm anh ấy bắt đầu có công ăn việc làm.
I am satisfied with my job.,Tôi hài lòng về cương vị công tác của tôi.
I thought you should know.,Tôi nghĩ rằng bạn nên biết.
Have you seen her?,Bạn có thấy cô ấy không?
I'll take two or three days off.,Tôi sẽ nghỉ phép 2 hoặc 3 ngày.
My name is Dorje.,Tên tôi là Dorje
"Tomorrow, it'll be worse.","Ngày mai, chuyện sẽ còn tệ hơn."
The moon's so bright.,Mặt trăng sáng quá.
"No matter what happens, I'm not changing my mind.",Cho dù chuyện gì có xảy ra đi chăng nữa thì tôi cũng sẽ không thay đổi suy nghĩ của mình.
There are so many people at this concert.,Có quá nhiều người tại buổi hòa nhạc.
I married eight years ago.,Tôi đã kết hôn tám năm trước.
I need a new computer.,Tôi cần có một máy vi tính mới.
Do you miss me?,Bạn có nhớ tôi không?
Do you miss me?,Bạn nhớ tôi không?
Do you miss me?,Em nhớ anh không?
Do you miss me?,Anh nhớ em không?
He's moonlighting as a stripper.,Anh ấy đang làm công việc ban đêm là một vũ công thoát y.
"I don't have time to be writing emails. It's study, study, study!","Tôi không có thời gian viết mail đâu. Tôi phải học, học, học!"
I go to school every day.,Tôi đi học mỗi ngày.
A truck was rushing down the road.,Một chiếc xe tải vừa lao đi dọc theo con đường.
What kind of hair style would you like?,Bạn thích kiểu tóc nào?
What kind of hair style would you like?,Mày thích kiểu tóc nào?
Why do humans laugh? That's quite a difficult problem.,Tại sao con người lại cười? Đây là một câu hỏi vô cùng khó.
Why do humans laugh? That's quite a difficult problem.,Tại sao con người lại cười? Đây là một câu hỏi vô cùng khó trả lời.
I'm not old enough to get a driver's license.,Tớ chưa đủ tuổi lấy bằng lái xe.
That's my CD.,Đó là đĩa CD của tôi.
The architecture... I don't really care about it. I just want a comfortable study and comfortable bedroom.,Kiến trúc à... Tôi không suy nghĩ đến cái đó cho lắm. Tôi chỉ muốn một phòng ngủ và một phòng làm việc thoải mái thôi.
The architecture... I don't really care about it. I just want a comfortable study and comfortable bedroom.,Kiến trúc à... Tôi không nghĩ đến cái đó cho lắm. Tôi chỉ muốn một phòng ngủ và một phòng học thoải mái thôi.
I swear this is what I do every morning.,Tôi thề đây là việc tôi làm mỗi sáng.
I swear this is what I do every morning.,Tôi thề đây là việc tôi làm vào mỗi buổi sáng.
"One time, I went to the atelier of a painter I had just met in the middle of the night. It was a dark room in an attic.","Một lần nọ, tôi đã đi đến xưởng vẽ đó vào đêm khuya cùng với một họa sĩ mà tôi mới quen. Đó là một căn phòng âm u trên gác xép."
"For some reason, her husband seemed to dislike that she spoke of me. In truth, she talked too much about me.",Vì lý do nào đó mà chồng cô ấy có vẻ không thích việc cô ấy nói về tôi. Thực tế thì cô ấy đã nói quá nhiều về tôi.
Ten years is a really long period of time.,Mười năm là một khoảng thời gian rất dài.
Ten years is a really long period of time.,Mười năm là một khoảng thời gian vô cùng dài.
"When in Rome, do as the Romans.",Nhập gia tùy tục.
"When in Rome, do as the Romans.",Nhập gia thì phải tùy tục.
Winter is right around the corner.,Mùa đông đang đến.
Soon it'll be winter.,Mùa đông đang đến.
He died five years ago.,Anh ấy đã chết năm năm trước.
He died five years ago.,Anh ấy đã mất năm năm trước.
Don't exaggerate!,Đừng làm quá lên.
Don't exaggerate!,Đừng có mà làm quá lên.
There are a lot of fish in the sea.,Có rất nhiều cá ở biển.
Do whatever you like.,Bạn thích làm gì thì làm.
Do whatever you like.,Thích làm gì thì làm.
My hobby is reading.,Sở thích của tôi là đọc sách.
Why did she do that?,Sao cô ấy lại làm thế?
I'll show you.,Tôi sẽ cho bạn xem.
I'll show you.,Tôi sẽ cho bạn thấy.
"I didn't take your bloody car, for crying out loud!","Tao không lấy cái ô tô chết tiệt của mày, trời ạ!"
"I didn't take your bloody car, for crying out loud!","Trời ạ, tôi không lấy cái xe chết tiệt của cô!"
"I didn't take your bloody car, for crying out loud!","Trời đất ơi, tôi có lấy cái xe hơi chết tiệt của anh đâu!"
I'm great at advice.,Tôi rất giỏi đưa ra lời khuyên.
My mother always gets up earlier in the morning.,Mẹ tôi luôn luôn dậy sớm buổi sáng.
My mother always gets up earlier in the morning.,Mẹ tôi luôn dậy sớm vào buổi sáng.
Chances are the bill will be rejected.,Nhiều khả năng là dự luật sẽ bị bác bỏ.
"Mahatma Gandhi once told me: ""Live as if you were to die tomorrow. Learn as if you were to live forever.""","Có lần Mahatma Gandhi đã nói với tôi rằng: ""Hãy sống như thể ngày mai bạn sẽ chết. Hãy học như thể bạn bất lão trường sinh."""
"Mahatma Gandhi once told me: ""Live as if you were to die tomorrow. Learn as if you were to live forever.""","Có một lần Mahatma Gandhi đã nói với tôi là: ""Hãy sống như thể ngày mai bạn sẽ chết. Hãy học như thể bạn bất lão trường sinh."""
He asked me whether I like math.,Anh ta hỏi tôi liệu có thích môn Toán không.
"The word ""theory"" is often misused.","Từ ""giả thuyết"" rất hay bị lạm dụng."
"Due to unforeseen circumstances, tonight's meeting has been cancelled until further notice.","Vì những tình huống đột ngột, buổi hội nghị tối nay sẽ bị hủy bỏ cho đến khi có thông báo tiếp theo."
Leave!,Biến!
It's time for bed.,Đã đến giờ đi ngủ.
Don't let them fool you.,Đừng để nó lừa dối mày.
Don't let them fool you.,Đừng để chúng nó xem mày là trò đùa.
Don't let them fool you.,Đừng để tụi nó chơi mày.
Don't let them fool you.,Đừng để các bạn đó làm bạn trở thành tên ngốc.
You can't trust computer translation.,Bạn không thể tin tưởng vào máy dịch được.
This is my room.,Đây là phòng của tôi.
A cat has two ears.,Con mèo có hai cái tai.
I'm hating this weather!,Tôi ghét thời tiết này
Where is he playing?,Anh ta chơi ở đâu?
"If you feel sick, you have to vomit?","Nếu bạn bị cảm, bạn có nôn không?"
She seemed to be wallowing in her grief instead of trying to recover from the disaster.,"Cô ấy dường như vẫn đắm chìm trong đau khổ, thay vì phải bình tĩnh lại sau điều bất hạnh."
She takes a new lover while he is in anguish.,Trong khi anh ta đang đau khổ thì cô ta có người yêu mới.
"Why when we are in love, we make each other hurt?",Tại sao yêu nhau mà cứ làm cho nhau đau khổ?
Ethanol is an alcohol.,Ethanol là một loại chất cồn.
Ethanol is an alcohol.,Ê-tha-nôn là một loại chất cồn.
The apple doesn't fall far from the tree.,Cha nào con nấy.
The apple doesn't fall far from the tree.,Hổ phụ sinh hổ tử.
The apple doesn't fall far from the tree.,Con vua thì lại làm vua. Con sãi ở chùa thì quét lá đa.
It's all over for us.,Với chúng tôi tất cả đã kết thúc.
"The dip was so hot, it burned my tongue.",Nước sốt quá cay khiến đầu lưỡi tôi tê tê.
You can't buy happiness.,Bạn không thể mua được hạnh phúc.
Strange rumors are going around.,Những tin đồn kỳ lạ đang lan rộng.
A stomachache is usually mistaken for a bellyache.,Bệnh đau dạ dày thường hay bị nhầm với bệnh đau bụng.
I love martial arts!,Tôi yêu võ thuật!
"When I was a student, I was the worst at composition.","Hồi còn đi học, tớ viết văn kém lắm."
"When I was a student, I was the worst at composition.","Hồi còn đi học, tôi viết văn rất tệ."
He has a white cat.,Anh ấy đang nuôi một con mèo trắng.
He has a white cat.,Ông ấy có nuôi một con mèo trắng.
We could live in peace here.,Tôi có thể sống yên bình ở đây.
This is the doghouse that I made myself.,Đây là cái chuồng chó mà chính tôi tự làm.
Make your students read books that make them think more.,Hãy cho các học sinh của bạn đọc những quyển sách khiến các em phải động não nhiều hơn.
I have some time.,Có có một ít thời gian.
She is the Prime Minister of Finland.,Bà ta là thủ tướng chính phủ của Phần Lan
She couldn't help but cry.,"Nó chẳng biết phải làm gì, chỉ biết khóc thôi."
She couldn't help but cry.,Nó không kiềm được nước mắt.
The story begins a long time ago.,Câu chuyện bắt đầu từ rất lâu rồi.
We stayed around the bonfire telling jokes and horror stories.,Chúng tôi ngồi thành vòng quanh đống lửa kể cho nhau nghe truyện tếu và truyện ma.
"We did not help him, so he made it by himself.","Chúng tôi đã không giúp anh ta, thế nên anh ta đã tự làm điều đó một mình."
One book is thin and the other is thick; the thick one has about 200 pages.,"Một cuốn sách thì mỏng, cuốn còn lại thì dày. Cuốn dày thì dày khoảng 200 trang."
Yesterday I met Marie.,Hôm qua tôi gặp Marie.
Yesterday I met Marie.,Hôm qua tôi đã gặp Mary.
"My friend from university gave me a Kindle because he said he wasn't using it anymore. It's the DX model with a large screen. It's not easy to use, but the screen is indeed quite nice. It hadn't bothered me until now, but it's become hard for me to read something on a normal LCD screen.","Một người bạn thời đại học đã cho tôi một cái Kindle vì cậu ta không còn dùng nó nữa. Đó là một cái Kindle mẫu DX có màn hình to. Nó không dễ thao tác cho lắm, nhưng màn hình của nó quả thực rất ổn. Từ trước đến nay tôi không để tâm cho lắm, nhưng bây giờ việc đọc trên một cái màn hình LCD bình thường đã trở nên khó khăn đối với tôi."
"My friend from university gave me a Kindle because he said he wasn't using it anymore. It's the DX model with a large screen. It's not easy to use, but the screen is indeed quite nice. It hadn't bothered me until now, but it's become hard for me to read something on a normal LCD screen.","Một người bạn thời đại học đã cho tôi một cái Kindle vì cô ấy không còn dùng tới nó nữa. Đó là một cái Kindle mẫu DX có màn hình to. Nó không dễ thao tác cho lắm, nhưng màn hình của nó quả thực rất ổn. Từ trước đến nay tôi không để tâm cho lắm, nhưng bây giờ việc đọc trên một cái màn hình LCD bình thường đã trở nên khó khăn đối với tôi."
Should I bring something to read?,Tôi đem cái gì đó cho bạn đọc nhé?
I saw many birds yesterday morning.,Hôm qua tôi nhìn thấy rất nhiều chim.
I saw many birds yesterday morning.,Hôm qua tôi đã trông thấy rất nhiều chim.
"When he spoke, everyone became silent.","Khi anh ấy nói, mọi người bắt đầu im lặng."
"He donated $10,000 to the refugee fund.",Anh ấy đã quyên góp 10 nghìn Đô-la cho quỹ hỗ trợ người tị nạn.
I love her so much I could die.,Tôi yêu cô ấy nhiều đến mức có thể chết vì cô ấy.
I don't enjoy studying because I don't make any progress.,"Tôi không thấy việc học có gì vui, vì tôi không thấy mình giỏi lên chút nào."
He informed me about the changes in the plan.,Nó thông báo cho tôi về những thay đổi trong kế hoạch.
He informed me about the changes in the plan.,Anh ấy đã thông báo cho tôi về nhũng thay đổi trong kế hoạch.
He left for London the day before yesterday.,Nó đã rời khỏi London vào ngày hôm kia.
He left for London the day before yesterday.,Anh ấy đã rời khỏi London vào ngày hôm kia.
He tried to behave as bravely as possible while he was being held hostage.,Anh ta cố gắng hành động dũng cảm nhất có thể trong khi bị giữ làm con tin.
He entered the bank disguised as a guard.,Anh ta cải trang thành bảo vệ vào ngân hàng.
He left the room without saying a word.,Anh ta đã rời khỏi phòng mà không nói lời nào.
He was a Frenchman. I could tell by his accent.,Anh ta là người Pháp. Tôi biết nhờ cách phát âm của anh ấy.
"He practices the piano every day, so he can become a pianist.",Cậu ta tập chơi đàn hàng ngày để trở thành một nghệ sỹ dương cầm.
He is in the habit of reading the newspaper while eating.,Anh ấy có thói quen vừa ăn vừa đọc báo.
He is in the habit of reading the newspaper during meals.,Anh ấy có thói quen vừa ăn vừa đọc báo.
He has the habit of reading the newspaper during meals.,Anh ấy có thói quen vừa ăn vừa đọc báo.
He has the habit of reading the newspaper while eating.,Anh ấy có thói quen vừa ăn vừa đọc báo.
"No matter what the cost, I will accomplish that.",Bằng mọi giá tôi sẽ hoàn thành nó.
"No matter what the cost, I will accomplish that.",Tôi sẽ hoàn thành nó bằng mọi giá.
There are a lot of things I have to do.,Tôi có nhiều việc phải làm.
I translated the poem the best I could.,Tôi đã dịch bài thơ này tốt nhất có thể.
Listen!,Hãy nghe tôi!
Listen!,Nghe này.
It's already Christmas in Europe.,Bên châu Âu đã là Giáng Sinh rồi.
I hope you had a wonderful day.,Tôi hy vọng bạn đã có một ngày tuyệt vời.
I saw a UFO.,Tôi nhìn thấy UFO.
I'm working on another case.,Tôi đang điều tra vụ án khác.
I'm working on another case.,Tôi đang làm việc với trường hợp khác.
I'm working on another case.,Tôi đang làm vụ mới.
The doctor broke the Hippocratic Oath.,Người bác sỹ đã phá vỡ lời thề Hippocrates.
Seriously?,Thật á?
I haven't been busy for these past two days.,Hai ngày nay tôi không bận.
"My uncle is thin, but my aunt is fat.",Chú tôi gầy nhưng dì tôi lại béo.
My job is strangling rats.,Công việc của tôi là bóp cổ chết chuột.
So our wedding wasn't good?,Vậy là đám cưới của chúng tôi không tốt?
There was nobody in there.,Chẳng có ai ở trong đó cả.
What is 6 subtracted from 10?,10 trừ 6 bằng mấy?
What is 6 subtracted from 10?,Mười trừ sáu còn mấy?
This sentence can be interpreted in two ways.,Câu này có thể được diễn giải theo 2 cách.
Do you know who wrote this book?,Bạn có biết là ai đã viết cuốn sách này không?
"We used to have airplanes, but we had to sell them.","Chúng tôi đã từng có vài chiếc máy bay, nhưng chúng tôi đã phải bán chúng đi."
It's magic.,Đó là phép thuật.
I have an electric guitar.,Tôi có một cây ghita điện.
I have an electric guitar.,Tao có một cây ghita điện.
It's too hot and I'm very tired.,Trời quá nóng và tôi thấy rất mệt.
Disgusting!,Tởm quá!
That's why we are here.,Đó là lý do tại sao chúng ta ở đây.
That's why we are here.,Đó là lý do tại sao tụi tao ở đây.
That's why we are here.,Đó là lý do tại sao chúng tao ở đây.
That's why we are here.,Đó là lý do tại sao bọn tao ở đây.
That's why we are here.,Đó là lý do tại sao tụi mình ở đây.
Let's eat now. I'm dying of hunger.,Chúng ta ăn thôi. Tôi sắp chết vì đói rồi.
He didn't drink the milk.,Anh ta không uống sữa.
I can't live without her.,Tôi không thể sống thiếu cô ấy.
I have a brother who's the same age as you.,Tôi có một người anh trai cùng tuổi với bạn.
I have a brother who's the same age as you.,Tôi có một người em trai cùng tuổi với bạn.
I have an older brother who's the same age as you.,Tôi có một người anh trai cùng tuổi với bạn.
I have an older brother who's the same age as you.,Tôi có một người em trai cùng tuổi với bạn.
Bob thought deeply about that matter.,Bob nghĩ rất nhiều về vấn đề đó.
This broken vase cannot be repaired.,Cái bình hoa vỡ này không thể sửa được.
Edward inherited his uncle's estate.,Edward thừa kế đất đai của chú cậu ấy.
George is five years older than I am.,Geogre già hơn tôi 5 tuổi.
George is five years older than I am.,Gioóc lớn hơn tôi năm tuổi.
George is five years older than me.,Geogre già hơn tôi 5 tuổi.
George is five years older than me.,Gioóc lớn hơn tôi năm tuổi.
Pull!,Kéo đi!
Faster!,Nhanh hơn nữa!
He's swaggering.,Anh ta đang khoác lác.
Do you understand the difference?,Bạn có hiểu được sự khác biệt không?
I wish I could go back in time.,Ước gì thời gian có thể quay trở lại.
My kid is shy around strangers and always hides behind me.,"Con nhà tôi rất sợ người lạ, nên lúc nào cũng trốn sau lưng tôi thôi."
My kid is shy around strangers and always hides behind me.,"Cháu nhà tôi sợ người lạ lắm, nên lúc nào cũng trốn sau lưng tôi thôi."
She was born in the United States and grew up in Japan.,Cô ấy sinh ra ở Mỹ và lớn lên ở Nhật.
She left France for the United States.,Cô ấy rời Pháp để đến Hoa Kỳ.
She left France for the United States.,Cô ấy rời Pháp để đến Mỹ.
They are going to emigrate to the United States.,Họ định di cư sang Mỹ.
They are going to emigrate to the United States.,Họ có ý định di cư sang Hoa Kỳ.
Done.,Xong.
These are clothes that Mary made by herself.,Đây là những áo quần mà Mary đã tự làm.
"Thursday, we will go to a swimming pool.","Vào thứ Năm, chúng tôi sẽ đi đến một bể bơi."
Blimey!,Trời ạ!
Blimey!,Trời ơi!
All good things must come to an end.,Cuộc vui nào cũng sẽ tàn.
All good things must come to an end.,Cuộc vui nào rồi cũng sẽ đến hồi kết.
Let's hang him first and try him later.,"Hãy treo anh ta lên trước đã, chúng ta sẽ xét đoán anh ta sau."
"My shoulder hurts so much, I don't know what to do.","Vai tôi đau quá, tôi không biết phải làm sao."
My mother told me to mow the lawn.,Mẹ tôi bảo tôi đi cắt cỏ.
My mother told me to mow the lawn.,Má tôi bảo tôi đi cắt cỏ.
He eats nothing other than fruit.,Anh ấy không ăn gì khác ngoài trái cây.
I didn't like the Prime Minister's speech.,Tôi không thích bài phát biểu của thủ tướng.
Where were you coming from?,Các bạn đến từ đâu?
It's still better than nothing.,Vẫn tốt hơn là không có gì.
It's still better than nothing.,Có vẫn còn hơn không.
It's obvious why you have a stomachache.,Thật dễ thấy tại sao bạn bị đau bụng.
"If you read this sentence, you will become blind.","Nếu bạn đọc câu này, bạn sẽ bị mù."
There's no cure for stupidity.,Không có cách nào chữa được sự ngu dốt.
I met her one winter day.,Tôi đã gặp cô ấy vào một ngày mùa đông.
I don't want to be exploited.,Tôi không muốn bị lợi dụng đâu.
I'm learning Japanese.,Tôi đang học tiếng Nhật.
It's five o'clock.,Bây giờ là năm giờ.
Are you happy here?,Ở đây bạn có hạnh phúc?
He was strict with his children.,Anh ấy nghiêm khắc với con mình.
He was strict with his children.,Anh ấy nghiêm khắc với con cái mình.
I was very rich until I met her.,"Tôi đã từng giàu sụ, đấy là cho đến khi tôi gặp cô ta."
We can't compete with Asia.,Chúng ta chẳng thể nào đấu lại Châu Á đâu.
He is nothing.,Anh ta chả là gì cả.
That is essential.,Điều này rất cần thiết
I need a translator.,Tôi cần một người dịch.
I need a translator.,Tôi cần một thông dịch viên.
The moon is exceptionally pretty tonight.,Tối nay mặt trăng đẹp lạ thường.
I fear for the future of mankind.,Tôi lo lắng cho tương lai của loài người.
The house has three floors.,Căn nhà có 3 tầng.
Tom is a narcissist.,Tom là một người ái kỷ.
Tom is a narcissist.,Tom là một kẻ ái kỷ.
Greece can no longer pay off its debts.,Hy Lạp giờ đã không còn khả năng chi trả nợ quốc gia.
Okay.,Ô kê.
Why don't you want to come to the cinema with me?,Sao bạn không đi xem phim với tôi nhỉ?
I was about to go out when the telephone rang.,Tôi sắp sửa đi ra ngoài thì điện thoại reo.
"It's important, so I'll do it.","Đó là một điều quan trọng, vậy nên tôi sẽ làm điều đó."
Why do you insist? I already said no!,Tại sao bạn cứ nài nỉ? Tôi đã nói là không!
I'm sorry to have caused you so much trouble.,Tôi xin lỗi vì đã gây ra nhiều rắc rối cho bạn.
I'm sorry to have caused you so much trouble.,Tao xin lỗi vì đã gây ra nhiều rắc rối cho mày.
I'm sorry to have caused you so much trouble.,Tớ xin lỗi vì đã gây ra nhiều rắc rối cho cậu.
I don't know exactly when I'll be back.,Tôi không rõ khi nào tôi sẽ quay trở lại.
I don't know exactly when I'll be back.,Tôi không biết rõ khi nào thì tôi sẽ trở lại.
He put the book on the shelf.,Cậu ta đặt cuốn sách lên giá.
He makes three times more money than I do.,Anh ta kiếm tiền nhiều gấp ba lần tôi.
He told me his life's story.,Anh kể tôi nghe chuyện đời của mình
Mary thinks that the world is a dangerous place.,Mary nghĩ rằng thế giới là một nơi nguy hiểm.
Ten people were packed into the small room.,Mười người bị nhét vào một căn phòng nhỏ.
Burj Khalifa is currently the tallest skyscraper in the world.,Burj Khalifa hiện đang là tòa nhà chọc trời cao nhất thế giới.
Mary is very good at belly dancing.,Mary múa bụng rất giỏi.
I believe Elvis is still alive.,Tôi tin là Elvis vẫn còn sống.
Why are you so ugly?,Sao mày xấu thế?
Why are you so ugly?,Sao mày xấu quá vậy?
Why are you so ugly?,Sao bạn xấu quá?
Would you like to have another beer?,Ông có muốn uống thêm bia không?
She's two years older than I am.,Nó lớn hơn tôi 2 tuổi.
I was born the year the war ended.,Tôi được sinh ra vào năm mà chiến tranh kết thúc.
I was born the year the war ended.,"Vào năm mà chiến tranh kết thúc, tôi được sinh ra."
He dreaded having to spend Christmas in the hospital.,Anh ấy đã rất lo lắng về việc sẽ phải dành thời gian Giáng Sinh ở bệnh viện.
He was very worried about having to spend Christmas in the hospital.,Anh ấy đã rất lo lắng về việc sẽ phải dành thời gian Giáng Sinh ở bệnh viện.
It's not easy to understand his ideas.,Không dễ để hiểu được những ý tưởng của anh ấy.
"With these stupid attitudes, Maria only proves her own arrogance.","Với những quan điểm ngu ngốc này, Maria chỉ chứng tỏ được sự kiêu căng của chính mình."
We are not the only ones to believe that he is not guilty.,Chúng tôi không phải là những người duy nhất tin rằng cậu ta không có tội.
"We can't live on 150,000 yen a month.",Một tháng 150 nghìn Yên thì không đủ sống cho chúng tôi.
It's a very sad story.,Đó là một câu chuyện rất buồn.
I'm not allowed to drink alcohol.,Tôi không được phép uống rượu.
He has run out of energy.,Anh ta hết năng lượng rồi.
The roof leaks every time it rains.,Mái dột mỗi khi trời mưa.
Many people envy Tom's success.,Nhiều người ghen tị với sự thành công của Tom.
This is a lemon tree.,Đây là một cây chanh.
Those hens lay eggs almost every day.,Mấy con gà đó hầu như ngày nào cũng đẻ trứng.
